City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,wailua homesteads,22.0669,-159.378,20.44,90,100,2.06,US,1706631681
1,leongatha,-38.4833,145.95,9.92,95,11,0.4,AU,1706631681
2,longyearbyen,78.2186,15.6401,-4.09,68,75,6.17,SJ,1706631681
3,bilibino,68.0546,166.4372,-33.17,99,100,1.07,RU,1706631682
4,bethel,41.3712,-73.414,2.33,68,100,0.0,US,1706631682
5,isafjordur,66.0755,-23.124,-2.98,93,75,2.57,IS,1706631682
6,papatowai,-46.5619,169.4708,10.27,92,17,4.11,NZ,1706631682
7,blackmans bay,-43.0167,147.3167,15.07,76,37,2.68,AU,1706631557
8,castillos,-34.1667,-53.8333,27.28,39,81,4.16,UY,1706631683
9,labytnangi,66.6572,66.4183,-14.89,96,100,3.76,RU,1706631684
10,saint-pierre,-21.3393,55.4781,26.82,89,100,1.54,RE,1706631684
11,adamstown,-25.066,-130.1015,23.12,90,100,8.7,PN,1706631684
12,hermanus,-34.4187,19.2345,26.56,69,44,6.16,ZA,1706631685
13,port-aux-francais,-49.35,70.2167,3.86,69,78,14.72,TF,1706631685
14,masterton,-40.9597,175.6575,15.06,84,100,3.06,NZ,1706631685
15,mugia,43.1041,-9.2179,18.84,72,100,3.55,ES,1706631685
16,puerto ayora,-0.7393,-90.3518,29.98,77,87,4.58,EC,1706631686
17,waitangi,-43.9535,-176.5597,17.12,98,100,2.24,NZ,1706631686
18,revda,56.801,59.9303,-7.61,90,100,4.55,RU,1706631687
19,siwa oasis,29.2041,25.5195,13.38,42,12,3.39,EG,1706631687
20,klyuchi,52.2667,79.1667,-16.86,95,35,3.07,RU,1706631688
21,sorong,-0.8833,131.25,26.83,84,49,1.24,ID,1706631688
22,malyye derbety,47.9547,44.6808,-1.41,87,100,7.98,RU,1706631688
23,vilyuchinsk,52.9306,158.4028,-13.85,79,94,3.69,RU,1706631689
24,rongelap,11.1635,166.8941,25.91,79,100,9.2,MH,1706631689
25,longgang,37.6508,120.3286,2.11,92,80,3.86,CN,1706631690
26,yuzhno-kurilsk,44.0306,145.8556,-2.01,71,79,6.48,RU,1706631690
27,kapuskasing,49.4169,-82.4331,0.05,93,100,4.12,CA,1706631690
28,lepsy,46.235,78.9456,-5.77,96,100,0.8,KZ,1706631690
29,saint-philippe,-21.3585,55.7679,26.77,86,72,4.9,RE,1706631691
30,avarua,-21.2078,-159.775,23.03,100,97,0.51,CK,1706631691
31,puerto natales,-51.7236,-72.4875,14.25,72,100,2.57,CL,1706631691
32,carnarvon,-24.8667,113.6333,25.86,70,14,7.4,AU,1706631692
33,kuanda,56.3161,116.0806,-32.86,95,98,0.2,RU,1706631692
34,brisas de zicatela,15.8369,-97.0419,27.29,83,0,2.06,MX,1706631693
35,talnakh,69.4865,88.3972,-17.11,81,99,4.91,RU,1706631693
36,port elizabeth,-33.918,25.5701,25.61,72,0,2.57,ZA,1706631693
37,ekero,0.3253,34.5044,24.45,53,100,0.92,KE,1706631693
38,tapiramuta,-11.8472,-40.7914,28.92,43,8,2.47,BR,1706631693
39,flying fish cove,-10.4217,105.6791,24.82,100,75,2.57,CX,1706631693
40,abu jibeha,11.4562,31.2285,27.42,13,95,4.67,SD,1706631694
41,stanley,54.868,-1.6985,5.77,81,20,5.14,GB,1706631619
42,aasiaat,68.7098,-52.8699,-32.19,99,94,3.82,GL,1706631694
43,olovyannaya,50.95,115.5667,-33.61,99,51,0.43,RU,1706631694
44,hampton bays,40.869,-72.5176,3.25,75,100,4.92,US,1706631689
45,yellowknife,62.456,-114.3525,-5.33,95,100,6.17,CA,1706631413
46,todos santos,23.45,-110.2167,27.95,55,96,5.88,MX,1706631695
47,sinabang,2.4803,96.3801,27.19,81,97,2.6,ID,1706631642
48,varena,54.2167,24.5667,1.21,82,100,2.99,LT,1706631695
49,west island,-12.1568,96.8225,27.99,69,13,2.57,CC,1706631695
50,idri,27.5,13.2667,15.73,27,17,3.79,LY,1706631696
51,codrington,-38.2667,141.9667,13.43,82,11,3.41,AU,1706631696
52,grytviken,-54.2811,-36.5092,6.08,71,36,6.38,GS,1706631696
53,brookings,44.3114,-96.7984,-0.31,94,10,2.33,US,1706631550
54,pangkalanbuun,-2.6833,111.6167,24.6,93,99,0.88,ID,1706631696
55,nchelenge,-9.3451,28.734,23.33,83,46,4.53,ZM,1706631696
56,san ignacio de velasco,-16.3667,-60.95,34.59,39,53,3.07,BO,1706631697
57,ilulissat,69.2167,-51.1,-23.99,58,40,8.75,GL,1706631697
58,thompson,55.7435,-97.8558,-0.91,93,40,4.63,CA,1706631697
59,ribeira grande,38.5167,-28.7,19.32,77,20,4.12,PT,1706631697
60,ushuaia,-54.8,-68.3,13.79,96,100,3.35,AR,1706631698
61,udachny,66.4167,112.4,-29.83,100,84,0.98,RU,1706631698
62,whitehorse,60.7161,-135.0538,2.43,75,75,6.17,CA,1706631604
63,cedar falls,42.5278,-92.4455,2.97,88,100,5.81,US,1706631698
64,san patricio,28.017,-97.5169,18.28,60,100,0.95,US,1706631698
65,fort st. john,56.2499,-120.8529,6.94,53,20,13.89,CA,1706631698
66,lihue,21.9789,-159.3672,20.77,89,100,2.06,US,1706631699
67,invercargill,-46.4,168.35,8.9,93,34,1.46,NZ,1706631699
68,juneau,58.3019,-134.4197,6.0,95,100,3.6,US,1706631514
69,sibirskiy,53.5777,83.7577,-13.56,100,84,1.5,RU,1706631699
70,san cristobal,7.7669,-72.225,25.1,29,26,2.37,VE,1706631699
71,punta arenas,-53.15,-70.9167,15.01,82,75,6.17,CL,1706631560
72,puerto deseado,-47.7503,-65.8938,21.37,41,64,9.06,AR,1706631699
73,santiago del estero,-27.7951,-64.2615,38.43,20,0,3.73,AR,1706631700
74,kerikeri,-35.2268,173.9474,17.17,88,11,2.86,NZ,1706631700
75,pacific grove,36.6177,-121.9166,12.27,79,0,2.06,US,1706631578
76,bredasdorp,-34.5322,20.0403,23.58,62,22,7.91,ZA,1706631700
77,pisco,-13.7,-76.2167,26.12,78,0,4.12,PE,1706631700
78,narrabri,-30.3167,149.7833,23.62,94,25,3.01,AU,1706631700
79,wotje,9.4543,170.2367,26.62,79,100,10.15,MH,1706631701
80,haqqulobod,40.9167,72.1167,4.29,71,100,1.45,UZ,1706631701
81,borkum,53.5809,6.6915,8.3,93,100,10.74,DE,1706631701
82,sao jose da coroa grande,-8.8978,-35.1478,29.72,59,29,4.78,BR,1706631701
83,enewetak,11.3474,162.3373,26.36,71,81,9.32,MH,1706631411
84,lerwick,60.1545,-1.1494,7.0,83,50,11.74,GB,1706631613
85,utrik,11.2278,169.8474,25.94,78,100,9.24,MH,1706631702
